ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xec	-0x2b6bb8113c0f1d3	-0x1168b7dcfe69431b	0	109	399	1	0	0
0x27	0x7369ad8578f27ace	-0x1168fcf2791ba837	0	302	323	1	1	1
0xf9	0x4d303dfba39b915c	-0x116acba04d05e8f6	0	285	576	1	1	1
0x20	-0x587334769c34ca82	-0x116b06e073e84489	69	391	460	2	0	0
0x10c	0x3ff68459a0151a4b	-0x116bfb6598cfd3b8	22	137	517	2	0	0
0x4a	-0x76c404161a278f67	-0x11758266e86f39f5	0	89	97	8	0	0
0xd2	0x5082100a194888b8	-0x11775b9f92b26fdf	27	197	424	4	0	0
0x56	-0x287e741064ec4903	-0x117dc3be3449ee6a	0	601	602	1	0	0
0x5d	0x372f99f124883221	-0x117ff8cbd97a0e4e	0	107	120	1	1	1
0x4f	-0x6f354566ae2bdfa6	-0x1182dd05c7c9360b	0	397	403	1	0	0
0xd1	0x71fb7b0cc5916691	-0x1183a320a6aae13b	0	115	304	1	0	0
0xfe	-0x20bf2d20fe83cbdf	-0x119745635e8db445	0	92	400	1	1	1
0x51	-0x134567bcf455af05	-0x119a46a220499a46	0	560	561	2	1	1
0x3c	-0x4fb79b23c13a5f29	-0x11a868142e5d1b9f	224	63	287	4	0	0
0x2c	-0x687be5c9af96b064	-0x11a926104923082b	0	241	258	2	0	0
0xff	-0x543274ba84bcb037	-0x11ae7032c73b797b	56	144	514	4	0	0
0xe5	-0x76eb1249b8003184	-0x11b21af1f99117de	120	92	482	3	0	0
0x44	-0x7676805a9250d349	-0x11b2c228274c95f3	0	303	308	1	0	0
0x31	-0x31ded99ac5ecab1c	-0x11c72de80fae278a	0	66	76	1	0	0
0xd1	-0x30b81558af6057e	-0x11c73c4a7edff4d3	0	305	494	1	0	0
0x71	0x2a1b19936bc8d80f	-0x11cb5c79331639ea	0	253	253	1	1	1
0xdf	-0x4275ac7cac01d5ea	-0x11d2ee17dea6bada	0	227	466	1	0	0
0xc3	-0x6447f72d802f6f3c	-0x11dd9fed2d453b45	10	87	269	2	0	0
0x22	0x11b31905d259c21f	-0x11e2b205d5ee51d8	0	395	395	1	0	0
0x1d	0x4d0216ce01746546	-0x11e5a7ed531a5574	0	118	118	1	0	0
0x51	0x790f554cd7a12cb2	-0x11e71a217c8a8241	80	86	167	2	0	0
0xf2	-0x2d9b6a87b5c44138	-0x11ed36b1f1a64ee5	15	125	432	2	0	0
0xce	-0x520468f573a9ea2	-0x11f71caaf611da16	178	102	481	3	1	1
0x34	-0x3b85caa3e9d7cd3d	-0x11f93cbe2bc1bc36	0	76	95	1	0	0
