ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xc9	-0x1f2ce316f9d7b5fc	-0x5a2afa1812e79dc4	219	172	573	9	0	0
0x2a	-0x47f866204c171dab	-0x5a2d3525e42cc47e	0	99	99	1	1	1
0x23	0x23c170ebf7b1b220	-0x5a3304dde0b073d4	0	340	340	2	0	0
0x58	-0x6441197cd7f71dc6	-0x5a33990d38e63b2c	0	434	451	1	0	0
0x54	-0xe69184ae6d74a5f	-0x5a3f51bb7f487765	0	578	592	2	0	0
0x10a	0x40945c9207c081f0	-0x5a413a4ba56eb2d8	0	279	609	1	0	0
0x20	-0x5c0c9a66025d6213	-0x5a42dc103b975567	17	535	552	2	0	0
0x114	-0x46a6953b09669396	-0x5a433b1d7e459ff4	0	132	622	1	0	0
0x62	-0x48e7d6c7f6a3db2a	-0x5a459820b4c89a42	157	92	254	7	0	1
0x44	-0x41819d2190582629	-0x5a45a7cc2a5f6e27	0	532	537	2	0	0
0xf9	-0x5584c1130c0b36eb	-0x5a49422902ed9a64	0	241	532	1	0	0
0x50	-0x2c8df0558c66f965	-0x5a4a79ebb012a97b	0	142	155	1	1	1
0xd3	-0x5c6ffd418f618f8a	-0x5a4b937e63b20844	0	129	329	2	0	0
0xd1	-0x25e7d34c7355a769	-0x5a513e3cc5427aaf	102	342	633	2	0	0
0x56	-0x78c829ed1753157b	-0x5a564911f2b6e330	249	135	385	4	0	0
0x1c	-0x5db9351dc5f2b392	-0x5a58ea7e4271c1b2	0	220	220	1	0	0
0x51	-0x65c88bdbeeb155d7	-0x5a5c080d76d590b2	31	149	181	3	0	0
0x47	-0x349a7941cb408c32	-0x5a646d6d411e308a	1	554	555	2	1	1
0x114	-0x6fce674630f9dc47	-0x5a663d9a9db89605	0	83	573	1	0	0
0x10e	-0x69b23e6df7800d7f	-0x5a680bbc924cc3c1	0	209	556	1	0	0
0xef	-0x4f7f68ec5b3857ee	-0x5a6c04ba307c282f	79	103	420	2	0	0
0x3e	0x219ff0a52e67e06a	-0x5a702ecc8d17095a	0	553	553	2	0	0
0x20	-0x54e6d154d39cc5d9	-0x5a7d86b7847cd00b	0	185	185	1	0	0
0xd3	-0x9bc32a909925cc9	-0x5a7f1c5adfd1a668	101	196	497	2	0	0
0x50	-0x6dbc2a8fc2e36e4f	-0x5a83904f0e42960d	0	331	344	1	1	1
0x5d	-0x2078352fa6d3b22d	-0x5a84796723431665	0	609	622	1	0	0
0x43	-0x51cdfb0ab4066bbf	-0x5a86b77d90320284	0	447	447	1	0	0
0x53	0x5565d0625f892225	-0x5a899cf6edc2a07f	0	530	530	1	0	0
0x107	0x5559a204da492f9a	-0x5a910a3c5bdb79d9	0	323	637	1	0	0
0x1e	-0x72fb35e4cae299cd	-0x5a9c8df98a3d1ae8	135	122	257	2	0	0
0xd3	0x3cc8466cad428be7	-0x5a9e898f752deb46	0	255	455	2	0	0
0x24	-0x6624dacf8eb1901c	-0x5a9f8b4334756903	0	512	525	1	0	0
0x23	-0x43bd4532d66d4f5a	-0x5aa0c63a26518cd5	0	462	462	1	0	0
0xf2	0x720818f5a225b571	-0x5aa70dbbc1602656	260	72	624	2	0	0
0xf2	-0x257493c965b11929	-0x5aa81c8552b1163a	0	330	622	1	0	0
0x10e	0x6fe90c3a8df9e406	-0x5aa90984e52c0abc	0	184	531	1	0	0
0x46	0x1bfd98b4ecc183a2	-0x5ab26ae902c2cce4	0	424	424	1	0	0
0x100	0xc1d0c8d69d895eb	-0x5ab97531d57b9f4	95	224	628	2	1	1
0x35	-0x497d32195ea49ce8	-0x5abed6fdd74bed16	0	567	567	1	0	0
0x3f	-0x4b3bc0d11d55c9bc	-0x5ac1f5482145d489	7	607	614	2	0	0
0x58	0x320a92f3db3fff0b	-0x5acb022cbe3268aa	238	188	443	3	1	0
0x23	0x5065105c22cd94dd	-0x5ad942541826e53b	0	596	596	1	1	1
0xcd	0x5861f7bd68853e7d	-0x5adb7e5c9f7259a5	0	293	480	1	0	0
0x5d	-0x34ce2ebd500debf7	-0x5ae7514dd601aa6c	0	443	456	1	1	1
0x25	-0x45428e9852a08530	-0x5afe9ea8218fbf7b	16	81	100	2	0	0
0x49	0x15b105c09b94d8d6	-0x5b022fe108d30f53	0	382	382	1	0	0
0x5a	0x60d01981933166a	-0x5b05b7fa006305ba	0	415	417	1	0	0
0x2f	-0x32108d1c57d12aa6	-0x5b076841ffe1d296	0	185	185	1	0	0
0x10d	-0x69f9eb68b0b2a102	-0x5b0ce0374db34dcc	0	70	425	1	0	0
0xfd	0x181e5b99643030c0	-0x5b111dbf0d9210ba	0	127	436	1	1	1
0xfd	0x513ea1cbc69e6999	-0x5b1ac0876275667f	22	242	573	2	0	0
0xe5	0x227566ad30bc1863	-0x5b1fbe04fd3b8472	253	86	609	9	0	1
0x46	0x70e49cffed830099	-0x5b264679859b6923	0	558	558	1	0	0
0xc7	-0x7d6c37a959e2b73a	-0x5b2d13474fe244d4	0	184	357	1	0	0
0xe5	-0x483d65bced837789	-0x5b2e5e5c03913d5c	0	293	563	1	0	0
0x2d	-0x776c25ff85684da4	-0x5b349de43ab6f97	113	379	518	2	0	0
0x4e	-0x2e6ad38b53894087	-0x5b376b22ce3538da	41	587	628	5	0	0
0x1f	-0x180b58b120ab837	-0x5b3b97e6c1a8c09a	50	456	506	2	1	1
0x3b	-0x58002c9142ce5fed	-0x5b45f909383dff19	0	507	507	1	0	0
0xd1	0x42244daa27c7d49b	-0x5b467d0f9e1cef77	0	249	438	1	0	0
0x49	-0x3f47d8b682b6c0d	-0x5b5591bec634b418	0	354	354	1	0	0
0x109	-0x8c2e474fe8f16d6	-0x5b55e38def315f11	0	241	588	1	0	0
0xf3	-0x393e34dc2a64077d	-0x5b57e8091fb1c5e9	0	148	435	1	1	1
0x19	0x7e3f102b61f7f62a	-0x5b587940714bd176	0	60	60	4	0	0
0xf9	0x1f5e1c4188e72b74	-0x5b5b55fcd9ebc379	0	297	588	1	0	0
0x1e	0x767f7f1aed69514b	-0x5b5cc3b8e764ddb5	0	427	427	1	0	0
0xed	-0x571abb189101346f	-0x5b5fc04b1dda2757	1	76	362	3	0	0
0xd1	0x7037d277841ca556	-0x5b6d642ef2174195	205	123	517	8	0	0
0x27	-0x777db5a9d52c6735	-0x5b6fcb891a69d28f	0	168	189	1	0	0
0x5d	-0x3e3a4b2c2f2e0ca8	-0x5b76e8700f40ac0c	141	307	461	6	0	0
0xf9	0x7541b232afe8c552	-0x5b7bfce29b96b66d	0	223	514	1	0	0
0x59	0x2cf4b4dae1c9c2c5	-0x5b8153a26cffb6f7	179	333	529	2	0	0
0x62	-0x1fb77e16721bd1c7	-0x5b82bd0f6d4958cf	0	140	145	1	0	0
0xe6	0x3b5709f75a93844b	-0x5b833c0dfc45b571	12	179	482	2	1	0
0x45	0x42e783f831005500	-0x5b8810f45f7bc779	0	491	492	2	1	1
0x3f	-0x1c71a1d73b1a2d0e	-0x5b8c164bbd420783	0	608	608	1	0	0
0x5f	-0x31afb260bb070094	-0x5b8cdff61fe28223	0	306	306	1	0	0
0x5b	-0x3ca03ba1ef70f659	-0x5b8ecd126a031289	0	194	200	1	0	0
0x3c	0x4f2ee104f4f2b8e7	-0x5b90021f4a7cce02	83	166	249	7	0	1
0x24	0x3967bf07cab2a426	-0x5b9630f8a85896a1	0	121	134	1	1	1
0x3b	-0x286f9ce97da69a21	-0x5b99f5fc35311b4d	0	172	172	1	0	0
0xc9	0x53776778acdc71c1	-0x5b9a03c9bf48ba5f	0	249	431	1	0	0
0x58	-0x7d29787a107384a	-0x5b9c543ac1f5145b	0	559	576	3	1	1
0x32	-0x367f5c3aabd2fc99	-0x5b9cd5ab025a1075	0	550	550	1	0	0
0x1f	0x1b119f09c4267d04	-0x5b9f55a6a73aa467	5	156	161	2	1	1
0x2f	-0x4c3d2d6986301c18	-0x5ba1d8f75dd9dd0	0	220	220	1	0	0
0x1e	-0x615f9fd59ff3f27	-0x5ba30b028d86ccb5	0	494	494	1	0	0
0x39	-0x32d876f7a89ac617	-0x5ba5a7806484fa87	5	111	116	2	0	0
0x60	-0x6eae996e950bfeb9	-0x5ba66fa19d5c118a	1	71	72	2	1	1
0x70	-0x48117d39aa986714	-0x5ba6a88fe8edf5e3	0	601	612	1	0	0
0xe9	0x10e99d836c3db928	-0x5bad12fe64efca83	0	107	398	1	0	0
0xf9	0xf235c7802d12b39	-0x5bb1a5726405e005	0	235	526	1	1	1
0x1d	-0x63e944d510851be3	-0x5bb3dcff2b69e200	0	157	157	1	0	0
0x107	-0x5a2eee040c5e95ae	-0x5bb4359134be5ad1	0	128	442	1	1	1
0x3b	0x376d1012b3ec3d2a	-0x5bb5aace101ab67c	0	203	203	1	0	0
0x46	-0x1b892b097bed5bf2	-0x5bc6a4dc88a1e795	0	588	588	1	0	0
0x31	-0x5e3514d90eb72079	-0x5bc76b521daa161e	0	297	307	1	0	0
0x102	-0x38fcc8e66478607d	-0x5bda5f67a7e8a934	0	159	471	1	1	1
0x109	0x1f99866a307a597b	-0x5bdb1e1c88d2330b	0	164	511	1	0	0
0x44	0x622f6df3e5f7df05	-0x5be5e62d63919b6b	0	363	368	1	0	0
0x110	-0x5dc1a28eaa7ec13	-0x5beba4290c6b3e48	0	258	600	1	0	0
0xcb	-0x666630b8287b3b49	-0x5bf363cfb7a6088a	0	444	630	1	0	0
0xee	-0x2bfa97595a1ac9b6	-0x5bf61f80f2b6e68	0	203	489	1	0	0
0x2d	-0x1edd4e029c774c58	-0x5bf92b58405c3471	162	357	545	5	0	0
0xc9	-0x68dbbf9b2ac53e94	-0x5bfaa6a2ce1adedb	0	130	312	1	0	0
0x3b	-0x1517bae1d4704234	-0x5c013cb561080ca0	0	155	155	1	1	1
0x1f	-0x759c2e0e2fb62bef	-0x5c116bf50b103eb8	0	628	628	1	0	0
0x2c	0x115c1b6767adcd7b	-0x5c16bfa5ce5f497f	0	282	299	1	0	0
0x71	0x531b9e55645da243	-0x5c24943961f40807	0	257	257	3	0	0
0x23	0x5a31969a95d0d98a	-0x5c26c292e1ae773	0	340	340	1	0	0
0xd2	0x3da1f6d2e1a05431	-0x5c2e57e36d418e67	246	156	602	17	0	0
0x42	0x6236754e60962d06	-0x5c3109115524f32	0	626	626	1	0	0
0xd3	0x1e4bbaeb50bb182	-0x5c33869208368058	0	185	385	1	0	0
0x1f	-0x2b643d4a9a96ed3b	-0x5c3a85feeeb4d2d8	0	357	357	2	0	0
0xf5	-0x58afd70275f4bd20	-0x5c3b3047d23e4c65	0	60	337	1	1	1
0xe1	0x3905fc9735027816	-0x5c4472ff3eeb8bed	0	93	333	1	0	0
0xd3	-0x1b3454636b523285	-0x5c471d44ad24007	0	167	367	1	0	0
0xfe	0x48ac97100a3f3607	-0x5c484eaad4f86b26	16	300	624	3	0	1
0xc9	0x4779c946cecad0ac	-0x5c4a586f209bcf3	0	141	323	1	1	1
0x3c	-0x2d575eaf14f923b6	-0x5c511f872a8ff9d4	0	84	84	1	0	0
0xf9	0x3ffa8c9f394f81eb	-0x5c51ad17effa37f1	0	346	637	1	0	0
0x23	0x30696e20432517e4	-0x5c56a9b88e1d5c12	0	301	301	1	0	0
0x27	0x2ec2e54f69324711	-0x5c5fdb92770e265	0	567	588	1	0	0
0x24	0x11a26c193160af37	-0x5c612d5a0a3f8993	0	382	395	1	0	0
0xdb	-0x32c4b06fb1b64864	-0x5c663afb5e815c40	0	213	473	2	0	0
0x46	-0x471bd45176e95a7f	-0x5c669527cacafaef	0	552	552	1	0	0
0x23	0x21fd01fe119ef662	-0x5c67c22663a118f1	0	92	92	1	1	1
0x3f	-0x3c137101d9c325fa	-0x5c6a8a256914743	0	76	76	1	0	0
0xee	-0x22cdd0127ace7af1	-0x5c6b4dc30a7ee709	13	306	605	5	0	0
0x50	0x203a9ac5e2502394	-0x5c6dc4ca267e31fc	77	330	420	6	0	0
0x49	0x76ff22ad2cc16839	-0x5c711f0a342f537	0	135	135	2	1	1
0x71	-0x5c0c9a66025d6213	-0x5c7b1f911576df37	210	92	302	6	1	1
0x109	-0xc58fe31b7622505	-0x5c80f083ffed2873	0	245	592	1	0	0
0xd3	-0x793aa54bfb0da505	-0x5c8ce3dd58f5a143	0	354	554	1	1	1
0x27	0x2548c9866cd5d6da	-0x5c9d23d3f0005833	1	440	462	2	0	0
0x70	-0x3ebdde78694583ca	-0x5ca3014346835318	0	588	599	1	0	0
0xd3	-0x24b441bd6e900c1a	-0x5ca329ccdb4caf80	0	125	325	2	0	0
0xfd	0x69472132e6b72097	-0x5ca855c82a24eb3	0	201	510	1	0	0
0xe6	-0x7ad3431ea71c1bfa	-0x5ca91e7b107f7d93	0	95	386	1	1	1
0x2b	0x3bd8c60a7994701b	-0x5cb0dd3998297acf	0	343	362	1	0	0
0xce	-0x5dd1454d14ed4dc1	-0x5cb3d82ea8a2ecb2	0	134	335	1	0	0
0x53	0x701dd7e8b2cd4d63	-0x5cb9ccc9527720a7	0	321	321	1	0	0
0x109	0x2a5e17463714a976	-0x5cc37b6bad8f91ec	108	132	587	2	0	0
0xe0	0x7271c15a44a9f349	-0x5cc432034d7b3a13	0	88	322	1	0	0
0x3f	0x7ad22b278e30c3ee	-0x5cc4741cc65684ed	0	495	495	1	0	0
0x46	-0x7b427e12e59b4963	-0x5cc769f4c7290761	247	255	502	2	0	0
0xfd	-0x2601317a8bbed640	-0x5cc91a706cd28d49	0	253	562	1	1	1
0x102	0x185bfc2a773c2926	-0x5cccfca236977252	0	249	561	1	1	1
0x2d	0x26fb8b870aee06b1	-0x5cce47fcb08b353a	1	400	427	2	0	0
0xe4	0x7798fe291f8ca925	-0x5cceb24296bb0233	0	196	484	1	1	1
0x30	0x35f0baa1015e84b4	-0x5cceec42630aa633	0	153	173	1	0	0
0x102	0x48d61d0549aad113	-0x5cd166571a45516	0	288	600	1	0	0
0x10e	-0x1fff1f0abb41ab6f	-0x5cd84f3d68b7d7af	0	218	565	1	0	0
0x105	0x372e4f025e86da70	-0x5ce18e8aa6127eb2	0	76	430	1	0	0
0x50	0x12fd48e55ff47ef1	-0x5ce2c21f1cc06bcb	162	335	510	3	0	0
0x5c	-0x6df23544c87fc23c	-0x5ce483fad64952c	0	291	291	1	0	0
0x35	-0x1b319b77973e9367	-0x5ce4e5d5caa5ad2d	0	584	584	1	0	0
0x102	-0x3ceb32b0ed9114e2	-0x5ceaabedf3bbee9e	0	141	453	1	0	0
0xd3	-0x62270b4d72330677	-0x5cf0520b6be3804e	0	217	417	1	0	0
0xe9	0x7c2d8ae92e44007f	-0x5cf55b8787233f55	0	242	533	1	1	1
0x110	-0x40b77c38be803a04	-0x5cfc3f91a0a15360	0	251	593	1	0	0
0x54	-0x7fb062b9bd0d0118	-0x5cfe58250546ad66	0	529	543	2	0	0
0x35	-0x35b928ab2f648aae	-0x5cfe93414c042c0b	0	530	530	1	0	0
0x1d	-0x577f319b6afc3772	-0x5d0d85befcb3dde9	0	291	291	1	0	0
0xdb	-0x2fa456b6c603feac	-0x5d0de1a9ab111067	0	108	368	1	0	0
0x109	0x4263e76206f41c1c	-0x5d11711e84fe4bcf	0	234	581	1	0	0
0xc2	-0x719b45768af2772c	-0x5d141dc11c6ece32	0	427	619	1	0	0
0xfd	0x2936d263e5f37666	-0x5d146f83663ee890	0	62	371	1	0	0
0x3b	0xe69f4e6f719a619	-0x5d14cc5737c4c3e7	0	605	605	1	0	0
0x4a	0x1ff68c7f04318e4c	-0x5d1571f796770481	0	128	136	1	0	0
0xfb	-0x6306b2fce712b0e8	-0x5d1677130ef1db71	0	295	564	2	0	0
0x23	0x4a7ed2b1e030300f	-0x5d195012210b5392	81	97	178	3	0	0
0x102	-0x5ed4c4d1fae67b3e	-0x5d23e903763059ef	21	73	406	3	0	0
0xff	-0x1ddde137b2fcfbef	-0x5d27636b8a53fb09	0	201	515	1	0	0
0x1f	-0x3a2dabe6dd9fa776	-0x5d29f7e3cf7ffba7	0	602	602	1	0	0
0x35	0x7314b196bb3b35c7	-0x5d35f0ae0a2454fe	0	375	375	1	0	0
0x1f	-0x7fa8b88527989719	-0x5d387d324400fec8	0	156	156	1	1	1
0x29	-0x247e41cab0f6bc92	-0x5d39a2b4efe62ad5	0	481	482	1	0	0
0x44	0x63f7d475cdeed19d	-0x5d4c9a48bb0c7730	0	275	280	1	0	0
0xd4	0x41b27ea447644e20	-0x5d4f056f32c2af0d	44	260	508	3	1	0
0xf2	-0x55e49ec0a205feea	-0x5d581d312cf3e2d1	0	206	498	1	1	1
0x1f	0x71f25e1953cf3352	-0x5d5b62201196e189	0	174	174	1	0	0
0x1c	-0x67cc443c93466b51	-0x5d5bbd84dec2b02c	1	169	170	3	1	1
0x3b	0x77bafe082e729857	-0x5d5c9a41c5b041f9	0	477	477	1	1	1
0x61	-0x49471175c435d354	-0x5d6156f461f737b	223	233	456	2	1	1
0x4e	-0x5b3fb2d804dd16c3	-0x5d65158d1843eddb	0	249	249	1	0	0
0xd2	0x4e6c78b60e3fdad	-0x5d662c634f66753a	0	391	591	1	0	0
0x1c	0x5548026cabd597ae	-0x5d6e1bb119a2c7e7	0	213	213	1	0	0
0xf6	-0x7f337d4e598f3c0e	-0x5d777120d19566ac	44	261	608	2	0	0
0x2c	-0x1617a07033dd6866	-0x5d77c34e8a0cf5be	0	459	476	1	0	0
0x5d	0x63485ac21be9c45c	-0x5d77ece775087e5c	0	305	318	1	0	0
0xcf	0x6fb448b7fb6975be	-0x5d7ae19eb3011f58	0	93	285	1	0	0
0x2a	-0x2b0dcb5caefccf6d	-0x5d82b04057ba40d9	0	94	94	1	0	0
0x1c	-0x1eaa8fcf5617f8e6	-0x5d8f801385578c9e	0	362	362	1	0	0
0x56	0x37ddc58c697231c9	-0x5d919d40f5aa526c	0	453	454	1	0	0
0x101	0x1f64fe0b2137558b	-0x5d9513708e8e9af3	82	50	440	3	1	1
0x115	-0x1014b54ab4a8c6b3	-0x5d9a44d25c9160d1	0	188	557	2	0	0
0x60	0x3a8fa9a57a3cd1c5	-0x5da53c4c329acdbc	0	93	93	1	1	1
0x19	-0x36f3a078c46c5710	-0x5da8d48a661d2b8f	0	152	152	1	0	0
0x5d	0xe05298c432054dd	-0x5dab302653279604	0	61	74	1	0	0
0x4a	-0x3de5b678c777e398	-0x5db89c112522fad	0	237	245	1	0	0
0x29	-0x1a6d6b455aa8bc3f	-0x5db8c050c0cf2bae	5	216	222	2	0	0
0x107	-0xf3fe9d56b468a34	-0x5db981e2e3eb514	7	261	582	3	1	1
0x50	0x1dbfcd301045523d	-0x5dbaff9d84841424	0	543	556	1	0	0
0xe1	0x89f3711bffd7bf4	-0x5dc44b0d299d82ab	36	57	333	3	0	0
0x5a	0x5a263da542bb4c34	-0x5dc7a66556add0ef	0	564	566	1	0	0
0xd4	0x1fe2c08d7f5c6d05	-0x5dd03b8facd58832	0	349	553	1	0	0
0xe6	-0x46f7dfb353e47e91	-0x5de7da5f7b545810	0	189	480	1	0	0
0x10b	-0x323b6d31fa537094	-0x5dea3d73af582e40	0	138	488	2	0	0
0x39	0x7751971a180d548	-0x5debc93923a62a98	0	191	191	2	1	1
0xef	-0x574d84355537351d	-0x5df256843c46c84d	0	292	530	1	0	0
0x3b	-0x7df4c96d01777301	-0x5df457cf17721abd	124	389	513	6	0	1
0x102	0x41068b0c60dcca92	-0x5dfb5b2bb55de98a	55	145	512	2	1	1
0x1e	-0x2b3c0e64d14f9382	-0x5dfd7e1d4c4def0c	0	215	215	1	0	0
0x100	0x475ad24c33382c20	-0x5e06f67480fdd684	0	67	376	1	0	0
0x60	0x617baa18e0a4e014	-0x5e08c70080a8dd20	0	109	109	1	0	0
0x20	-0x234b39435218e39b	-0x5e08d6f5462f3d2f	0	442	442	1	1	1
0x108	0x7c02b1c62062c987	-0x5e0a9575cd5bea00	0	139	462	1	0	0
0x4d	0x1b65020cd6db4db	-0x5e0c193704f2a8d0	120	378	498	4	0	1
0x18	-0x6f4b7475036a798a	-0x5e1c2f7fb766586f	146	377	524	4	0	0
0x109	-0x3041442abf76a7a5	-0x5e1e1214958004b1	0	154	501	1	0	0
0xe3	-0x2dd4b1f0d3b72234	-0x5e24bf4e0552505	0	57	326	1	0	0
0x29	-0xffd1a91ac242d05	-0x5e261293a740d756	0	290	291	1	0	0
0xc9	0x757488c5e6b70de8	-0x5e272b35526af480	0	390	572	1	0	0
0x42	-0x5c0c9a66025d6213	-0x5e29f4735f3aa192	0	174	174	1	0	0
0x4b	0x666ddb0b49ae0a2a	-0x5e32b43d78a3d802	0	96	104	2	0	0
0x1f	0x7d1f3c2620ae2eba	-0x5e3416733bf16b97	28	188	216	4	0	0
0xe4	-0x428cfeafcd70350f	-0x5e3d8117bd76723a	1	338	627	2	0	0
0x1c	-0x3dd809cabd1a12ac	-0x5e3e2e47a0e0828e	1	417	418	3	0	0
0x70	0x78c71cb4dd0705d1	-0x5e4c05b9d7bbe151	0	482	493	1	0	0
0xd2	-0x3c6287e4c8f3fb5f	-0x5e4fb6fadb31bc25	169	138	507	12	1	0
0x35	0x6a95963791e8ad8a	-0x5e59e960437b0c4e	0	99	99	1	1	1
0x5a	0x39a0551a045da837	-0x5e5b8f0f7cc0fcdf	42	83	127	2	1	1
0xf2	-0x34bbe6ac1e52399	-0x5e65a9a3cff4421e	121	222	635	27	0	0
0xd4	-0x1d3bdc79b697823c	-0x5e6cd9d252f93964	0	316	520	1	1	1
0xf9	0x1782600703c12efd	-0x5e6d8c731a1d7b6d	0	190	481	1	0	0
0x56	-0x78e8dfd6c58620d6	-0x5e703ce90c2e10c5	0	330	331	1	1	1
0x25	-0x4c2622038967a90a	-0x5e77cc2d85454103	0	159	162	1	1	1
0x5d	0x37395db3208cc0df	-0x5e8181db9c03cac8	0	214	227	1	0	0
0xd4	-0x7c35a9e833cb03	-0x5e83f4bc77f04810	0	336	540	1	1	1
0x62	-0x32e2e06fb40012f5	-0x5e88d2c63634b66c	0	65	70	1	0	0
0x103	-0xdaa85432cad880f	-0x5e8c005be61f8cc9	0	140	495	1	0	0
0x54	0x6da4252d4410b059	-0x5e8d45e5682f403f	0	442	456	1	1	1
0xe5	0x4a5cfffa76a0b4c9	-0x5e8d70eb1721bacb	8	92	370	2	0	0
0x31	-0x7af243650ff5f922	-0x5e93af61eeae9c5a	0	110	120	1	1	1
0x58	0x3397f3478be09934	-0x5e9837d860e17ede	1	554	572	2	0	0
0xca	-0x48c02a462980146	-0x5ea28372890102b5	0	193	370	1	0	0
0x23	-0x47fdc3c97594a454	-0x5ea96e0178921d2d	196	172	368	8	0	0
0xc2	-0x745dc63f1e763aac	-0x5eaf2814ec246ac0	0	431	623	1	0	0
0xf9	-0x3e979e8ba3e4ebb8	-0x5eb44ca375013f88	0	224	515	1	0	0
0xdb	-0xb84144b596648a	-0x5ebab43d9a4dd558	15	115	390	2	0	0
0xef	-0x1f2ce316f9d7b5fc	-0x5ebd87c599819e76	194	63	495	5	0	0
0x45	-0x687be5c9af96b064	-0x5ebf55cb5a4d0e62	3	321	325	2	0	0
0x1c	-0x70790c4701bd2bfd	-0x5ec496b63f58a7b1	0	577	577	1	0	0
0x38	-0x1f59798b7585771a	-0x5ec803d6e07429d1	0	72	75	1	0	0
0xd3	-0x464b5356741c4658	-0x5eca7b57f3a1c276	0	369	569	1	1	1
0xf8	0x19220d972375c57a	-0x5ed3fb8af244330b	186	139	629	4	1	0
0xf9	-0x7220f8c2bfe5e10c	-0x5ed856aecc0f9591	0	188	479	2	0	0
0x3f	0x2fd35f44073e5ad7	-0x5ee3cd0e712ae14e	3	612	615	2	0	0
0xfd	-0x30442e1027350398	-0x5ee46b0227d88b6	0	174	483	1	0	0
0xef	-0x580551cd4cc4a35d	-0x5ee987996200cf20	0	53	291	3	0	0
0x23	-0x4d8beec12948273c	-0x5eede4ea57dee56d	0	564	564	3	0	0
0x49	0x74e216584a08c1d	-0x5ef3abe8a9b5a874	0	176	176	1	1	1
0xc9	-0x4e67096c3504ab9f	-0x5efe20a12198ca4	1	355	538	2	0	0
0xef	-0xc8ac72e2caa2e1d	-0x5eff5ad29bbb1d30	4	209	451	2	0	0
0x2f	0x1e1b00f0c2e21489	-0x5f014434136807dd	0	111	111	1	0	0
0x3e	0x650f8e463838d325	-0x5f0c9c2507573079	0	259	259	1	0	0
0x3e	-0x28563187fcd66561	-0x5f10ce66cd76d02d	0	172	172	1	0	0
0xee	-0x621fdc301bfc69ad	-0x5f154c7443a11b6	18	260	564	2	0	0
0x109	-0x770b67b3822f4a96	-0x5f16419fb96411bf	0	146	493	1	0	0
0xce	-0x397fdc5df611d32a	-0x5f1641b36817e10e	0	379	580	1	0	0
0x106	0x541e9d7e9940e7a6	-0x5f18139c384e3046	0	204	555	2	1	1
0xeb	-0xa282fb0329f1799	-0x5f1847c9a205747c	0	293	583	1	1	1
0x3e	-0x4014865bda8a51a3	-0x5f1a69494f40821e	0	511	511	1	0	0
0xef	-0x23c7fe5e458a0524	-0x5f1eb5e2d09e116a	0	292	530	1	0	0
0x106	0x4ecd290a867324ad	-0x5f275cbb0852f5fb	0	244	595	1	0	0
0xdd	-0x614710c226370266	-0x5f2794c6ebd1a5ad	0	218	452	1	0	0
0xe4	-0x3dca8947c32d0ddc	-0x5f2d98ae4bdbdd2	267	68	623	2	0	0
0x46	-0x247186aa4d2c9231	-0x5f43113595a864d8	0	619	619	1	0	0
0xe8	0x243cf6079ae73eb	-0x5f4649334553fc32	0	196	491	1	1	1
0x24	0x7c66012363767647	-0x5f494bdbc94f85dc	38	193	244	3	0	0
0x44	0x5a9e73fa85dcbcd4	-0x5f4b587acd197b78	13	519	537	6	0	0
0x5d	0x472c1a00edd11967	-0x5f4c24664c541753	7	329	349	4	0	0
0xf6	0x7aece56b7039a226	-0x5f53ab9ee7493607	0	280	583	1	1	1
0x2f	0x4f971f4db1b19285	-0x5f55e2e4973f44d2	0	173	173	1	0	0
0x104	-0x20e2d52b01c470f7	-0x5f5656f90c6d3958	48	165	527	2	0	1
0x70	-0x5f72f8d37057f2ef	-0x5f6077d218538d04	0	406	417	3	0	0
0xeb	0x3545212b70339dc4	-0x5f63163136fbc1d7	0	222	512	1	1	1
0x1a	0x78ae33db4313e62d	-0x5f658ad2be849ece	0	126	126	1	0	0
0x4b	0x4f5171e676c7b36b	-0x5f6a8b8e8572aeec	0	261	269	1	0	0
0x38	-0x2b3c0e64d14f9382	-0x5f6b06922456a26f	0	486	489	1	0	0
0x31	-0x39b33f9b8ffc2570	-0x5f6cfb37366c55c2	0	374	384	1	0	0
0x44	0x5cecc1e40e52a750	-0x5f6eda84efe623ef	0	506	511	1	0	0
0x51	0x713b18285dfb662e	-0x5f82a1e359807108	0	215	216	1	0	0
0x10e	0x6b3ab553c38d4660	-0x5f83d884eb298750	0	112	459	2	0	0
0x29	0x785a0fa88fd43dd4	-0x5f83ed24e72484fc	0	120	121	3	1	1
0x42	0x283c5fd187424f70	-0x5f85f81f69eaf4b	0	129	129	1	0	0
0x50	-0x7f67d67cfe8c14ad	-0x5f8c272e49d9f6b1	0	485	498	1	1	1
0x51	0x156891e3540eff30	-0x5f92be35958c2dcf	0	50	51	1	1	1
0x109	0x12f7bc424b9d6f42	-0x5f955a0ccd955d9d	0	248	595	1	0	0
0x5c	-0x5da0723ff78ba2d6	-0x5f966f27f1fe3e1c	35	357	392	2	0	0
0x1e	-0x4a972bf7e68b8380	-0x5f9df6c447d7a30f	0	484	484	1	1	1
0xef	-0x26eca9f042025f26	-0x5fa00733bf812d85	0	292	530	1	0	0
0x3e	0x58a06e3fbd6ec0af	-0x5fb7d2517c4c0a92	0	90	90	1	0	0
0x40	0x57ac9137c89262b7	-0x5fb7e80f08e47df9	0	521	522	3	0	0
